Country Name;Country Code;Population;Average;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011
Monaco;MCO;35427;110390.628608593;80311.8867767077;79173.2380417749;86220.4112746153;80065.9318645853;83511.3200386516;94816.4693399955;93709.0871460069;83598.6987629085;85198.5480450813;83410.1408629477;75382.4466260392;75702.8191669791;82226.6778578591;101604.86370645;116499.870883003;121386.064264782;132233.769900975;169269.632977772;186242.929678332;172676.340724526;172676.340724526;172676.340724526
Liechtenstein;LIE;36304;89938.9353077955;49041.2233903668;50533.2189367069;54811.042244354;55484.6993033581;63770.6273832984;78488.8901358702;79928.9135578427;72481.5699900607;77273.249568788;82048.2260914267;75606.203199265;74966.1710273093;79956.5183154345;90301.8123706404;100520.129804647;105440.292189585;113981.307154509;130503.797521784;138774.666105535;134914.672826907;134914.672826907;134914.672826907
Switzerland;CHE;7907000;47866.509749981;36337.0955329555;36309.5083473182;37383.0544890141;36027.2775442472;39566.6008668604;46014.2079808231;44123.0271482039;38407.9537612981;39227.0264471861;38290.6748794626;35639.4788575501;36328.1429099146;39350.442751953;45588.6198174723;50641.8372033313;51734.3038905002;54140.4981461317;59663.7702553755;68555.3718694938;65790.0673499881;70561.439116629;83382.8153338743
Luxembourg;LUX;517000;64569.43045856;33177.0549472523;35439.2484251254;39229.8205349404;39721.4107737443;43554.5968762408;50592.5277393933;49681.0986648863;44139.7876259657;45565.1579010337;49213.9670934467;46453.2457786449;45743.4301771101;50582.8285433188;64531.9894444048;74388.7086269173;80925.2199910031;90015.5277959145;106919.531389884;112028.527487542;100541.237323632;103574.171258687;114508.381689233
Sweden;SWE;9453000;35416.288632363;28556.9518950705;29912.2251860946;30806.1898682263;23173.2964180039;24775.3917346354;28739.2859221029;31269.7908837761;28620.4083486907;28779.1156165931;29218.4717077482;27869.3776032016;25557.6125445125;28118.9847993314;35131.2077591121;40261.1220123626;41040.6650223747;43948.6197709121;50558.3955288294;52730.7753894905;43639.5483187755;49359.8669198531;57091.0466622885
United Arab Emirates;ARE;7890924;35087.0816988266;28032.8797493431;26993.3195355753;26929.7981631486;26217.2151230965;26558.721492452;27993.4318772427;29737.970681179;30187.8949623567;27463.0451220985;29148.9015757221;34395.1491342898;32803.1788263604;33740.9003295532;36562.1466235374;40410.7920418948;44384.7464395747;47634.330962603;47756.5596876909;50727.2095022039;38959.8122211807;39624.7018777503;45653.0914453322
Finland;FIN;5387000;31362.3349088908;27852.2921278918;24991.4616782765;21850.7335564011;17240.2329177377;19776.7363841243;25609.1382413656;25037.8538082948;23928.2112384565;25179.599828403;25229.595816976;23529.538458379;24025.1182328248;25993.8399661027;31508.8752255305;36162.6560148878;37318.7973179157;39487.0540582311;46538.1712751779;51186.4851603858;44837.7108746463;43863.9669253187;48823.2988882701
Norway;NOR;4952000;50927.0737717097;27731.8016727132;28077.1776375488;29931.6322005697;27404.5880589342;28713.4779304854;34162.3213604561;36554.6717901011;35917.6894366324;34105.9184756693;35645.0891570659;37472.6716743196;37867.1422224593;42291.8252159391;49263.5131516431;56627.6573817843;65767.0196076045;72959.7680130369;83556.2493046617;95189.8659272926;77610.0211604842;85443.0593895799;98102.4622086314
Denmark;DNK;5574000;39694.0524248464;26422.8293751673;26520.3861450444;29043.6558331154;27102.8543643897;29502.094525472;34773.6754413182;35043.3647374391;32248.9594912753;32738.6832808049;32685.3189469237;29980.1554729546;29946.3818312109;32344.3197920286;39443.2681719856;45282.0680049995;47546.5945941372;50462.2335756077;57021.1731779507;62596.4885379665;56226.5801457945;56485.8944353764;59852.1734656583
Bermuda;BMU;64700;59192.6520059049;26320.6611570248;26801.6388196721;27539.3447868852;29841.9661639344;30459.381141925;32913.2893354943;43614.7249190939;47380.0807754443;50495.935483871;53619.8870967742;56042.1739130435;58887.728;62694.7133757962;66452.7777777778;70848.3886255924;76543.0188679245;84862.5235109718;92110.125;95170.2180685358;90161.149068323;89739.3091209116;89739.3091209116
